Date,Time,Temperature,DewPoint,Humidity,Wind,WinSpeed,WindGust,Pressure,Precip.,Condition
2017/8/13,12:53 AM,58,51,78,S,6,0,24.63,0,Mostly Cloudy
2017/8/15,12:53 AM,63,54,72,SSE,9,0,24.51,0,Cloudy
2017/8/14,12:53 AM,64,50,60,SSW,10,0,24.57,0,Mostly Cloudy
2017/8/17,12:53 AM,62,45,53,SSW,8,0,24.7,0,Fair
2017/8/18,12:53 AM,66,41,40,WSW,10,0,24.68,0,Partly Cloudy
2017/8/19,12:53 AM,65,49,56,SSW,7,0,24.67,0,Fair
2017/8/20,12:53 AM,71,40,32,SW,13,0,24.62,0,Cloudy
2017/8/22,12:53 AM,64,49,58,SE,3,0,24.81,0,Fair
2017/8/23,12:53 AM,65,46,50,S,14,0,24.71,0,Partly Cloudy
2017/8/25,12:53 AM,58,43,58,S,9,0,24.61,0,Fair
2017/8/26,12:33 AM,72,44,37,WSW,12,0,24.7,0,Partly Cloudy
2017/8/13,1:53 AM,59,51,75,WSW,8,0,24.62,0,Cloudy
2017/8/13,2:53 AM,60,53,78,WSW,10,0,24.62,0,Cloudy
2017/8/13,3:53 AM,60,52,75,WSW,8,0,24.61,0,Cloudy
2017/8/13,4:53 AM,60,52,75,SW,5,0,24.61,0,Mostly Cloudy
2017/8/13,5:53 AM,60,51,72,SW,3,0,24.61,0,Cloudy
2017/8/13,6:53 AM,62,50,65,WSW,7,0,24.62,0,Cloudy
2017/8/13,7:53 AM,65,49,56,WSW,7,0,24.62,0,Partly Cloudy
2017/8/13,8:53 AM,72,47,41,WSW,7,0,24.62,0,Partly Cloudy
2017/8/13,9:53 AM,76,47,36,VAR,3,0,24.62,0,Partly Cloudy
2017/8/13,10:53 AM,79,44,29,WSW,5,0,24.61,0,Fair
2017/8/15,1:53 AM,63,53,70,S,17,0,24.5,0,Cloudy
2017/8/15,2:53 AM,62,54,75,SW,10,0,24.5,0,Partly Cloudy
2017/8/15,3:53 AM,62,54,75,SSW,13,0,24.5,0,Fair
2017/8/15,4:53 AM,61,52,72,WSW,5,0,24.5,0,Fair
2017/8/15,5:53 AM,58,50,75,SW,6,0,24.49,0,Fair
2017/8/15,6:53 AM,59,51,75,WSW,9,0,24.5,0,Cloudy
2017/8/15,7:53 AM,60,52,75,WSW,7,0,24.52,0,Cloudy
2017/8/15,8:53 AM,66,54,65,NE,3,0,24.52,0,Cloudy
2017/8/15,9:53 AM,70,53,55,WSW,8,0,24.52,0,Cloudy
