year,month,day,hour,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,PM2.5,PM10
2013,3,1,0,4,12,200,85,-0.5,1024.5,-21.4,0,5.7,5,14
2013,3,1,1,6,14,200,84,-0.7,1025.1,-22.1,0,3.9,8,12
2013,3,1,2,5,14,200,83,-1.2,1025.3,-24.6,0,5.3,3,6
2013,3,1,3,5,14,200,84,-1.4,1026.2,-25.5,0,4.9,5,5
2013,3,1,4,6,21,200,77,-1.9,1027.1,-24.5,0,3.2,5,5
2013,3,1,5,13,21,300,77,-2.4,1027.5,-21.3,0,2.4,3,3
2013,3,1,6,15,32,300,62,-2.5,1028.2,-20.4,0,2.2,4,4
2013,3,1,7,14,45,400,48,-1.4,1029.5,-20.4,0,3,3,7
2013,3,1,8,13,49,400,46,-0.3,1030.4,-21.2,0,4.6,3,6
2013,3,1,9,9,28,400,68,0.4,1030.5,-23.3,0,5.5,11,14
2013,3,1,10,6,20,300,77,1.4,1030.2,-22.5,0,5.2,3,7
2013,3,1,11,6,19,300,81,2.9,1029.8,-22.9,0,5.3,3,6
2013,3,1,12,4,17,300,86,4,1028.6,-21.2,0,4.6,3,6
2013,3,1,13,4,17,300,87,5,1027.8,-21.2,0,4.5,3,6
2013,3,1,14,4,19,300,86,6.2,1027.6,-22.2,0,4,6,11
2013,3,1,15,4,18,300,89,6,1027.7,-21.3,0,2.1,5,13
2013,3,1,16,4,21,300,85,5.6,1027.7,-20.7,0,1.8,5,12
2013,3,1,17,8,25,400,80,4.4,1028.2,-20.9,0,3.5,10,23
2013,3,1,18,7,27,400,77,3.2,1029.4,-20.3,0,0.5,11,22
2013,3,1,19,12,39,400,64,3,1030.1,-19.7,0,1.1,11,12
2013,3,1,20,18,46,500,55,1.6,1031.3,-19,0,1.2,10,14
2013,3,1,21,18,50,500,49,0.8,1032.4,-19.7,0,1,12,15
2013,3,1,22,20,56,600,43,0.1,1032.9,-19.2,0,1.8,17,20
2013,3,1,23,17,41,500,57,-0.5,1032.8,-19.7,0,2.1,6,17
2013,3,2,0,12,40,500,57,-0.7,1033,-18.3,0,0.6,13,13
2013,3,2,1,13,39,500,56,-1.6,1033.2,-17.4,0,0,3,9
2013,3,2,2,NA,38,400,52,-2.2,1032.9,-16.7,0,0,3,9
2013,3,2,3,8,30,NA,89,-3.1,1032.6,-15.8,0,0,3,6
2013,3,2,4,7,NA,400,59,-3.1,1032.7,-16.1,0,0,3,6
2013,3,2,5,9,42,400,50,-2.4,1032.1,-18.1,0,0.8,3,6
2013,3,2,6,16,57,500,35,-2.3,1031.3,-18.4,0,1.5,3,6
2013,3,2,7,33,61,500,32,-1.9,1031.9,-18.5,0,1.4,3,7
2013,3,2,8,28,50,500,43,-0.9,1031.7,-18,0,1.6,3,6
2013,3,2,9,26,39,500,54,0.1,1031.7,-18.1,0,0.5,3,13
2013,3,2,10,25,43,500,52,1.5,1031.2,-18,0,0.6,3,9
2013,3,2,11,25,52,700,46,2.6,1030.2,-18.2,0,3.1,14,16
2013,3,2,12,24,75,1000,30,3.8,1029,-17.8,0,1.1,18,19
2013,3,2,13,29,72,1000,35,3.8,1027.6,-17.8,0,1,26,37
2013,3,2,14,24,59,800,48,3.9,1026.8,-18.3,0,0.4,33,42
2013,3,2,15,27,58,1000,50,4.3,1026.2,-18,0,1.5,24,42
2013,3,2,16,50,67,1300,44,4.1,1025.4,-16.9,0,1.9,42,52
2013,3,2,17,51,72,1200,38,3.2,1025.3,-16,0,1.3,54,66
2013,3,2,18,50,75,1100,34,2.2,1025.4,-15.8,0,0.4,63,69
2013,3,2,19,51,80,1200,28,1.6,1025,-15.4,0,0.1,64,77
2013,3,2,20,54,98,1399,13,0.7,1025,-15.3,0,1,65,82
2013,3,2,21,68,116,2200,6,0.5,1024.8,-15.1,0,0.2,69,90
2013,3,2,22,73,118,2200,6,-1,1024.2,-14.6,0,0,83,109
2013,3,2,23,78,108,2899,7,-1.3,1023.2,-14.5,0,0,92,114
2013,3,3,0,86,106,3100,8,-2.2,1022.3,-12.8,0,0,122,142
2013,3,3,1,72,108,3299,7,-1.8,1021.4,-13.3,0,0.7,134,152
2013,3,3,2,76,109,2899,7,-2.4,1020.4,-13.3,0,1.3,145,162
2013,3,3,3,88,111,2200,5,-3.3,1019.4,-12.5,0,1.2,139,145
2013,3,3,4,84,107,2500,5,-4.2,1019,-12.6,0,0.1,87,111
2013,3,3,5,77,102,3100,5,-5.2,1018.5,-11.6,0,0.9,90,109
2013,3,3,6,83,106,3399,6,-5.4,1018.3,-11.3,0,0,118,122
2013,3,3,7,74,103,3200,6,-3.3,1018.6,-9.8,0,0.1,118,122
2013,3,3,8,88,105,3200,5,1.2,1018.1,-13.7,0,0.8,122,137
2013,3,3,9,91,102,2600,6,4,1017.6,-13.4,0,0.6,118,137
2013,3,3,10,102,105,2299,10,6.8,1016.7,-13.5,0,1.1,108,118
2013,3,3,11,95,111,2200,14,9.5,1015.6,-13.7,0,0.5,104,119
2013,3,3,12,91,132,2600,14,13.4,1014.4,-13.6,0,1.8,106,126
2013,3,3,13,68,130,2399,19,15.5,1013,-13.8,0,4,115,142
2013,3,3,14,28,66,1200,50,16.4,1012.4,-15.4,0,7,102,128
2013,3,3,15,9,24,500,80,16.6,1012,-15.2,0,4.7,56,77
2013,3,3,16,8,28,500,78,15.8,1012.2,-14.7,0,1.3,30,70
2013,3,3,17,23,74,1000,56,12.6,1013,-13.4,0,1.3,27,89
2013,3,3,18,37,106,1300,35,9.9,1014.1,-10.3,0,1,63,126
2013,3,3,19,60,147,1899,10,6.8,1014.9,-9.6,0,0,94,168
2013,3,3,20,58,151,2200,5,5.2,1015.2,-8.3,0,0,130,215
2013,3,3,21,53,143,2399,5,4,1015.4,-9.1,0,0.2,149,227
2013,3,3,22,42,132,2600,5,2.7,1015.8,-8.4,0,0.4,134,170
2013,3,3,23,36,128,2799,5,7.1,1016.7,-12.2,0,0.4,103,138
2013,3,4,0,38,119,2899,6,9.9,1017.5,-14.1,0,4.9,88,119
2013,3,4,1,21,58,800,29,9.3,1018.4,-13.9,0,3.6,76,94
2013,3,4,2,7,17,400,74,8.4,1018.7,-13.9,0,1.5,26,42
2013,3,4,3,5,14,300,80,7.4,1018.6,-14.2,0,3.6,11,27
2013,3,4,4,8,18,300,74,6.2,1019.6,-15.2,0,2.7,7,12
2013,3,4,5,10,22,300,74,6,1020.1,-14.2,0,2.4,3,6
2013,3,4,6,14,39,400,53,4.2,1020.8,-12.7,0,2,3,6
2013,3,4,7,20,72,600,20,7.2,1021.5,-12.6,0,3.2,12,20
2013,3,4,8,26,75,700,19,8.6,1022.3,-14.4,0,2.8,10,24
2013,3,4,9,23,51,600,44,9.9,1022.6,-14.8,0,2.4,13,27
2013,3,4,10,16,32,500,68,11.5,1022.3,-14.3,0,0,13,20
2013,3,4,11,8,22,400,80,12.3,1022,-15.4,0,2.4,14,18
2013,3,4,12,11,25,500,81,13.9,1020.6,-16.2,0,3.3,12,17
2013,3,4,13,4,19,400,88,14.8,1019.5,-15.5,0,1.4,3,13
2013,3,4,14,4,21,400,89,15.3,1018.6,-15.1,0,1.3,3,6
2013,3,4,15,4,22,400,92,15.6,1018.1,-14.8,0,2,10,11
